Finish No.0 image, Processing time : 14.000367641448975
Finish No.1 image, Processing time : 13.717612266540527
Finish No.2 image, Processing time : 13.404226779937744
Finish No.3 image, Processing time : 13.443673849105835
Finish No.4 image, Processing time : 13.653261423110962
Finish No.5 image, Processing time : 13.639509916305542
Finish No.6 image, Processing time : 10.513909339904785
Finish No.7 image, Processing time : 13.494126558303833
Finish No.8 image, Processing time : 13.268771409988403
Finish No.9 image, Processing time : 13.419105768203735
Finish No.10 image, Processing time : 13.20997405052185
Finish No.11 image, Processing time : 13.25899338722229
Finish No.12 image, Processing time : 13.168381929397583
Finish No.13 image, Processing time : 13.079160928726196
Finish No.14 image, Processing time : 12.58948278427124
Finish No.15 image, Processing time : 13.153513431549072
Finish No.16 image, Processing time : 13.185482501983643
Finish No.17 image, Processing time : 13.231302499771118
Finish No.18 image, Processing time : 13.16690182685852
Finish No.19 image, Processing time : 13.122345209121704
Finish No.20 image, Processing time : 12.611989498138428
Finish No.21 image, Processing time : 13.091433763504028
Finish No.22 image, Processing time : 13.07180142402649
Finish No.23 image, Processing time : 13.12818431854248
Finish No.24 image, Processing time : 12.831666469573975
Finish No.25 image, Processing time : 12.84372878074646
Finish No.26 image, Processing time : 12.910843133926392
Finish No.27 image, Processing time : 12.866758584976196
Finish No.28 image, Processing time : 12.940321922302246
Finish No.29 image, Processing time : 13.189152240753174
Finish No.30 image, Processing time : 13.051842451095581
Finish No.31 image, Processing time : 13.059477090835571
Finish No.32 image, Processing time : 12.727754592895508
Finish No.33 image, Processing time : 12.880926370620728
Finish No.34 image, Processing time : 12.892123699188232
Finish No.35 image, Processing time : 12.38912034034729
Finish No.36 image, Processing time : 12.746666431427002
Finish No.37 image, Processing time : 13.010348558425903
Finish No.38 image, Processing time : 12.679778337478638
Finish No.39 image, Processing time : 12.626450777053833
Finish No.40 image, Processing time : 12.891602754592896
Finish No.41 image, Processing time : 12.819674015045166
Finish No.42 image, Processing time : 12.864271402359009
Finish No.43 image, Processing time : 12.873281002044678
Finish No.44 image, Processing time : 12.66796875
Finish No.45 image, Processing time : 12.657870769500732
Finish No.46 image, Processing time : 12.793982028961182
Finish No.47 image, Processing time : 12.459261655807495
Finish No.48 image, Processing time : 12.725531578063965
Finish No.49 image, Processing time : 12.628350496292114
Finish No.50 image, Processing time : 12.67933964729309
Finish No.51 image, Processing time : 12.063821792602539
Finish No.52 image, Processing time : 12.38132929801941
Finish No.53 image, Processing time : 12.617271900177002
Finish No.54 image, Processing time : 12.683396577835083
Finish No.55 image, Processing time : 10.613977909088135
Finish No.56 image, Processing time : 12.62941575050354
Finish No.57 image, Processing time : 10.557924509048462
Finish No.58 image, Processing time : 10.490227699279785
Finish No.59 image, Processing time : 12.382117748260498
Finish No.60 image, Processing time : 12.59131407737732
Finish No.61 image, Processing time : 9.95507287979126
Finish No.62 image, Processing time : 10.512361764907837
Finish No.63 image, Processing time : 10.407848358154297
Finish No.64 image, Processing time : 11.84242582321167
Finish No.65 image, Processing time : 10.481936693191528
Finish No.66 image, Processing time : 12.373984098434448
Finish No.67 image, Processing time : 12.170379161834717
Finish No.68 image, Processing time : 10.27787709236145
Finish No.69 image, Processing time : 10.302048206329346
Finish No.70 image, Processing time : 12.184279918670654
Finish No.71 image, Processing time : 11.810080766677856
Finish No.72 image, Processing time : 12.04416275024414
Finish No.73 image, Processing time : 10.246437788009644
Finish No.74 image, Processing time : 12.137319326400757
Finish No.75 image, Processing time : 12.338329553604126
Finish No.76 image, Processing time : 12.180181741714478
Finish No.77 image, Processing time : 12.215274810791016
Finish No.78 image, Processing time : 12.031770706176758
Finish No.79 image, Processing time : 10.092968940734863
Finish No.80 image, Processing time : 11.861096382141113
Finish No.81 image, Processing time : 11.63602614402771
Finish No.82 image, Processing time : 9.99074649810791
Finish No.83 image, Processing time : 11.802583694458008
Finish No.84 image, Processing time : 11.848971605300903
Finish No.85 image, Processing time : 11.754841327667236
Finish No.86 image, Processing time : 11.512870073318481
Finish No.87 image, Processing time : 12.00126600265503
Finish No.88 image, Processing time : 12.064579486846924
Finish No.89 image, Processing time : 12.020397424697876
Finish No.90 image, Processing time : 11.79688572883606
Finish No.91 image, Processing time : 11.544858932495117
Finish No.92 image, Processing time : 11.867379903793335
Finish No.93 image, Processing time : 11.758348226547241
Finish No.94 image, Processing time : 11.890696287155151
Finish No.95 image, Processing time : 11.114814043045044
Finish No.96 image, Processing time : 11.840392112731934
Finish No.97 image, Processing time : 11.853157758712769
Finish No.98 image, Processing time : 12.109473466873169
Finish No.99 image, Processing time : 12.257202863693237
Finish No.100 image, Processing time : 11.933284997940063
Finish No.101 image, Processing time : 11.356444358825684
Finish No.102 image, Processing time : 11.83792757987976
Finish No.103 image, Processing time : 12.09807014465332
Finish No.104 image, Processing time : 11.783865213394165
Finish No.105 image, Processing time : 11.782761096954346
Finish No.106 image, Processing time : 11.731177806854248
Finish No.107 image, Processing time : 11.711510419845581
Finish No.108 image, Processing time : 11.699350595474243
Finish No.109 image, Processing time : 11.616522312164307
Finish No.110 image, Processing time : 11.493236064910889
Finish No.111 image, Processing time : 10.952508449554443
Finish No.112 image, Processing time : 11.561715602874756
Finish No.113 image, Processing time : 11.010249853134155
Finish No.114 image, Processing time : 11.501357078552246
Finish No.115 image, Processing time : 11.44443655014038
Finish No.116 image, Processing time : 11.410390138626099
Finish No.117 image, Processing time : 11.26716661453247
Finish No.118 image, Processing time : 11.349255084991455
Finish No.119 image, Processing time : 11.380268573760986
Finish No.120 image, Processing time : 10.876814842224121
Finish No.121 image, Processing time : 10.68979811668396
