Finish No.0 image, Processing time : 7.872180461883545
Finish No.1 image, Processing time : 7.004716873168945
Finish No.2 image, Processing time : 6.796572685241699
Finish No.3 image, Processing time : 6.8231000900268555
Finish No.4 image, Processing time : 6.864296197891235
Finish No.5 image, Processing time : 6.8897740840911865
Finish No.6 image, Processing time : 5.331012964248657
Finish No.7 image, Processing time : 6.90934681892395
Finish No.8 image, Processing time : 6.8130316734313965
Finish No.9 image, Processing time : 6.802513360977173
Finish No.10 image, Processing time : 6.709932804107666
Finish No.11 image, Processing time : 6.73492956161499
Finish No.12 image, Processing time : 6.694269895553589
Finish No.13 image, Processing time : 6.604640483856201
Finish No.14 image, Processing time : 6.649587154388428
Finish No.15 image, Processing time : 6.574347257614136
Finish No.16 image, Processing time : 6.637782335281372
Finish No.17 image, Processing time : 6.58523416519165
Finish No.18 image, Processing time : 6.762114524841309
Finish No.19 image, Processing time : 6.733854532241821
Finish No.20 image, Processing time : 6.63784384727478
Finish No.21 image, Processing time : 6.605391502380371
Finish No.22 image, Processing time : 6.648943662643433
Finish No.23 image, Processing time : 6.66387152671814
Finish No.24 image, Processing time : 6.553484916687012
Finish No.25 image, Processing time : 6.612760543823242
Finish No.26 image, Processing time : 6.48616361618042
Finish No.27 image, Processing time : 6.5656578540802
Finish No.28 image, Processing time : 6.559467077255249
Finish No.29 image, Processing time : 6.650846481323242
Finish No.30 image, Processing time : 6.532176494598389
Finish No.31 image, Processing time : 6.553152561187744
Finish No.32 image, Processing time : 6.519862651824951
Finish No.33 image, Processing time : 6.416309356689453
Finish No.34 image, Processing time : 6.4520957469940186
Finish No.35 image, Processing time : 6.532889127731323
Finish No.36 image, Processing time : 6.488879680633545
Finish No.37 image, Processing time : 6.541130065917969
Finish No.38 image, Processing time : 6.434875965118408
Finish No.39 image, Processing time : 6.327000617980957
Finish No.40 image, Processing time : 6.557380676269531
Finish No.41 image, Processing time : 6.453403949737549
Finish No.42 image, Processing time : 6.478140354156494
Finish No.43 image, Processing time : 6.488690614700317
Finish No.44 image, Processing time : 6.501547336578369
Finish No.45 image, Processing time : 6.407759428024292
Finish No.46 image, Processing time : 6.398855924606323
Finish No.47 image, Processing time : 6.340321779251099
Finish No.48 image, Processing time : 6.480369567871094
Finish No.49 image, Processing time : 6.356618642807007
Finish No.50 image, Processing time : 6.335160493850708
Finish No.51 image, Processing time : 6.403887033462524
Finish No.52 image, Processing time : 6.331426382064819
Finish No.53 image, Processing time : 6.415440797805786
Finish No.54 image, Processing time : 6.400226593017578
Finish No.55 image, Processing time : 5.350168943405151
Finish No.56 image, Processing time : 6.515631437301636
Finish No.57 image, Processing time : 5.250568866729736
Finish No.58 image, Processing time : 5.329692602157593
Finish No.59 image, Processing time : 6.3848772048950195
Finish No.60 image, Processing time : 6.361482381820679
Finish No.61 image, Processing time : 5.270983934402466
Finish No.62 image, Processing time : 5.299569368362427
Finish No.63 image, Processing time : 5.317268371582031
Finish No.64 image, Processing time : 6.287793874740601
Finish No.65 image, Processing time : 5.225656986236572
Finish No.66 image, Processing time : 6.241487741470337
Finish No.67 image, Processing time : 6.222033739089966
Finish No.68 image, Processing time : 5.184566020965576
Finish No.69 image, Processing time : 5.209330797195435
Finish No.70 image, Processing time : 6.204816579818726
Finish No.71 image, Processing time : 6.2273313999176025
Finish No.72 image, Processing time : 6.104720592498779
Finish No.73 image, Processing time : 5.179332494735718
Finish No.74 image, Processing time : 6.201037406921387
Finish No.75 image, Processing time : 6.208089113235474
Finish No.76 image, Processing time : 6.1206207275390625
Finish No.77 image, Processing time : 6.174175500869751
Finish No.78 image, Processing time : 6.03303599357605
Finish No.79 image, Processing time : 5.095664024353027
Finish No.80 image, Processing time : 6.005682706832886
Finish No.81 image, Processing time : 6.171853303909302
Finish No.82 image, Processing time : 5.053610324859619
Finish No.83 image, Processing time : 6.078924179077148
Finish No.84 image, Processing time : 6.019643545150757
Finish No.85 image, Processing time : 5.969459295272827
Finish No.86 image, Processing time : 5.8422229290008545
Finish No.87 image, Processing time : 6.009094715118408
Finish No.88 image, Processing time : 6.117451906204224
Finish No.89 image, Processing time : 6.023905038833618
Finish No.90 image, Processing time : 5.959887504577637
Finish No.91 image, Processing time : 6.042121887207031
Finish No.92 image, Processing time : 5.97994589805603
Finish No.93 image, Processing time : 5.939016103744507
Finish No.94 image, Processing time : 5.965162038803101
Finish No.95 image, Processing time : 5.868332386016846
Finish No.96 image, Processing time : 5.902652740478516
Finish No.97 image, Processing time : 6.083979606628418
Finish No.98 image, Processing time : 5.8483662605285645
Finish No.99 image, Processing time : 6.069986581802368
Finish No.100 image, Processing time : 6.035583019256592
Finish No.101 image, Processing time : 6.007003307342529
Finish No.102 image, Processing time : 5.999215364456177
Finish No.103 image, Processing time : 6.163296222686768
Finish No.104 image, Processing time : 5.894977807998657
Finish No.105 image, Processing time : 5.91874623298645
