Finish No.139 image, Processing time : 8.840327501296997
Finish No.140 image, Processing time : 9.472264051437378
Finish No.141 image, Processing time : 8.96738052368164
Finish No.142 image, Processing time : 9.591240882873535
Finish No.143 image, Processing time : 8.982528448104858
Finish No.144 image, Processing time : 8.943654537200928
Finish No.145 image, Processing time : 9.417329788208008
Finish No.146 image, Processing time : 9.609034538269043
Finish No.147 image, Processing time : 8.934762477874756
Finish No.148 image, Processing time : 9.099381923675537
Finish No.149 image, Processing time : 9.559418439865112
Finish No.150 image, Processing time : 9.638550758361816
Finish No.151 image, Processing time : 8.948879957199097
Finish No.152 image, Processing time : 9.804203987121582
Finish No.153 image, Processing time : 9.666900634765625
Finish No.154 image, Processing time : 9.644860029220581
Finish No.155 image, Processing time : 9.229863166809082
Finish No.156 image, Processing time : 9.844037055969238
Finish No.157 image, Processing time : 9.909497737884521
Finish No.158 image, Processing time : 9.8472421169281
Finish No.159 image, Processing time : 10.066866397857666
Finish No.160 image, Processing time : 9.962702751159668
Finish No.161 image, Processing time : 10.057790517807007
Finish No.162 image, Processing time : 10.126392602920532
Finish No.163 image, Processing time : 9.951899290084839
Finish No.164 image, Processing time : 10.12182331085205
Finish No.165 image, Processing time : 9.37329387664795
Finish No.166 image, Processing time : 9.587043285369873
Finish No.167 image, Processing time : 9.637654781341553
Finish No.168 image, Processing time : 10.07433557510376
Finish No.169 image, Processing time : 9.64694857597351
Finish No.170 image, Processing time : 10.131924867630005
Finish No.171 image, Processing time : 9.706047058105469
Finish No.172 image, Processing time : 10.247864007949829
Finish No.173 image, Processing time : 10.429579496383667
Finish No.174 image, Processing time : 10.23262906074524
Finish No.175 image, Processing time : 10.326169967651367
Finish No.176 image, Processing time : 10.304358720779419
Finish No.177 image, Processing time : 9.854308843612671
Finish No.178 image, Processing time : 10.567997694015503
Finish No.179 image, Processing time : 9.646850824356079
Finish No.180 image, Processing time : 10.55131483078003
Finish No.181 image, Processing time : 9.766982316970825
Finish No.182 image, Processing time : 10.57633090019226
Finish No.183 image, Processing time : 10.253004550933838
Finish No.184 image, Processing time : 9.852696895599365
Finish No.185 image, Processing time : 10.200480699539185
Finish No.186 image, Processing time : 10.240179300308228
Finish No.187 image, Processing time : 9.677753210067749
Finish No.188 image, Processing time : 10.144176721572876
Finish No.189 image, Processing time : 10.085456371307373
Finish No.190 image, Processing time : 10.052807092666626
Finish No.191 image, Processing time : 9.593122720718384
Finish No.192 image, Processing time : 9.41541838645935
Finish No.193 image, Processing time : 9.446199893951416
Finish No.194 image, Processing time : 9.951477527618408
Finish No.195 image, Processing time : 9.76586365699768
Finish No.196 image, Processing time : 9.337403535842896
Finish No.197 image, Processing time : 10.099995851516724
Finish No.198 image, Processing time : 9.918664455413818
Finish No.199 image, Processing time : 9.861736059188843
Finish No.200 image, Processing time : 9.16136121749878
Finish No.201 image, Processing time : 9.981448888778687
Finish No.202 image, Processing time : 9.249367713928223
Finish No.203 image, Processing time : 9.754089593887329
Finish No.204 image, Processing time : 9.512510776519775
Finish No.205 image, Processing time : 8.935863733291626
Finish No.206 image, Processing time : 8.995090007781982
Finish No.207 image, Processing time : 9.522382497787476
Finish No.208 image, Processing time : 8.741148948669434
Finish No.209 image, Processing time : 9.281341552734375
Finish No.210 image, Processing time : 9.448046445846558
Finish No.211 image, Processing time : 8.990989685058594
Finish No.212 image, Processing time : 8.949479818344116
Finish No.213 image, Processing time : 9.542453050613403
Finish No.214 image, Processing time : 9.590468406677246
Finish No.215 image, Processing time : 9.110138893127441
Finish No.216 image, Processing time : 9.413589000701904
Finish No.217 image, Processing time : 8.91030764579773
Finish No.218 image, Processing time : 9.005770921707153
Finish No.219 image, Processing time : 9.478428363800049
Finish No.220 image, Processing time : 9.500561475753784
Finish No.221 image, Processing time : 9.7154700756073
Finish No.222 image, Processing time : 9.08067512512207
Finish No.223 image, Processing time : 9.590772867202759
Finish No.224 image, Processing time : 9.493984699249268
Finish No.225 image, Processing time : 9.486318111419678
Finish No.226 image, Processing time : 9.60105848312378
Finish No.227 image, Processing time : 8.786514282226562
Finish No.228 image, Processing time : 8.875837087631226
Finish No.229 image, Processing time : 8.776329517364502
Finish No.230 image, Processing time : 8.92230772972107
Finish No.231 image, Processing time : 9.548920154571533
Finish No.232 image, Processing time : 8.848073959350586
Finish No.233 image, Processing time : 9.81172513961792
Finish No.234 image, Processing time : 9.56920576095581
Finish No.235 image, Processing time : 8.862125158309937
Finish No.236 image, Processing time : 9.532125234603882
Finish No.237 image, Processing time : 8.932058334350586
Finish No.238 image, Processing time : 9.481916189193726
Finish No.239 image, Processing time : 8.91966986656189
Finish No.240 image, Processing time : 9.49319338798523
Finish No.241 image, Processing time : 9.26686978340149
Finish No.242 image, Processing time : 9.341290950775146
Finish No.243 image, Processing time : 9.37946367263794
Finish No.244 image, Processing time : 9.384421586990356
Finish No.245 image, Processing time : 9.425766706466675
Finish No.246 image, Processing time : 8.783082485198975
Finish No.247 image, Processing time : 9.526979923248291
Finish No.248 image, Processing time : 8.791435718536377
Finish No.249 image, Processing time : 8.925148010253906
Finish No.250 image, Processing time : 8.726062297821045
Finish No.251 image, Processing time : 8.846940755844116
Finish No.252 image, Processing time : 9.566189765930176
Finish No.253 image, Processing time : 9.336366176605225
Finish No.254 image, Processing time : 8.924773454666138
Finish No.255 image, Processing time : 9.530060052871704
Finish No.256 image, Processing time : 8.960843801498413
Finish No.257 image, Processing time : 9.518224000930786
