Finish No.138 image, Processing time : 4.981006622314453
Finish No.139 image, Processing time : 5.012256860733032
Finish No.140 image, Processing time : 4.995007514953613
Finish No.141 image, Processing time : 4.99235200881958
Finish No.142 image, Processing time : 5.019206762313843
Finish No.143 image, Processing time : 5.0379838943481445
Finish No.144 image, Processing time : 5.067224025726318
Finish No.145 image, Processing time : 4.936051845550537
Finish No.146 image, Processing time : 5.007932186126709
Finish No.147 image, Processing time : 4.986944675445557
Finish No.148 image, Processing time : 4.957677841186523
Finish No.149 image, Processing time : 5.011558294296265
Finish No.150 image, Processing time : 5.054066181182861
Finish No.151 image, Processing time : 4.851638078689575
Finish No.152 image, Processing time : 5.111729383468628
Finish No.153 image, Processing time : 5.172474145889282
Finish No.154 image, Processing time : 5.119951009750366
Finish No.155 image, Processing time : 5.200204610824585
Finish No.156 image, Processing time : 5.167072296142578
Finish No.157 image, Processing time : 5.248436212539673
Finish No.158 image, Processing time : 5.263124942779541
Finish No.159 image, Processing time : 5.3369245529174805
Finish No.160 image, Processing time : 5.396210670471191
Finish No.161 image, Processing time : 5.451001405715942
Finish No.162 image, Processing time : 5.454631090164185
Finish No.163 image, Processing time : 5.2125725746154785
Finish No.164 image, Processing time : 5.429433345794678
Finish No.165 image, Processing time : 5.297760725021362
Finish No.166 image, Processing time : 5.295020580291748
Finish No.167 image, Processing time : 5.36598539352417
Finish No.168 image, Processing time : 5.4237141609191895
Finish No.169 image, Processing time : 5.423383951187134
Finish No.170 image, Processing time : 5.239027261734009
Finish No.171 image, Processing time : 5.442405462265015
Finish No.172 image, Processing time : 5.442256689071655
Finish No.173 image, Processing time : 5.472679615020752
Finish No.174 image, Processing time : 5.429352760314941
Finish No.175 image, Processing time : 5.492737054824829
Finish No.176 image, Processing time : 5.420844316482544
Finish No.177 image, Processing time : 5.430751800537109
Finish No.178 image, Processing time : 5.437413930892944
Finish No.179 image, Processing time : 5.37169623374939
Finish No.180 image, Processing time : 5.513328790664673
Finish No.181 image, Processing time : 5.424749374389648
Finish No.182 image, Processing time : 5.478178262710571
Finish No.183 image, Processing time : 5.56282901763916
Finish No.184 image, Processing time : 5.295934200286865
Finish No.185 image, Processing time : 5.230264902114868
Finish No.186 image, Processing time : 5.270227670669556
Finish No.187 image, Processing time : 5.225995779037476
Finish No.188 image, Processing time : 5.349216938018799
Finish No.189 image, Processing time : 5.32852029800415
Finish No.190 image, Processing time : 5.306365728378296
Finish No.191 image, Processing time : 5.228272914886475
Finish No.192 image, Processing time : 5.2256550788879395
Finish No.193 image, Processing time : 5.170673608779907
Finish No.194 image, Processing time : 5.245906829833984
Finish No.195 image, Processing time : 5.156216859817505
Finish No.196 image, Processing time : 5.0844385623931885
Finish No.197 image, Processing time : 5.164816379547119
Finish No.198 image, Processing time : 5.207359313964844
Finish No.199 image, Processing time : 5.138171672821045
Finish No.200 image, Processing time : 5.08214259147644
Finish No.201 image, Processing time : 5.111935138702393
Finish No.202 image, Processing time : 5.00234055519104
Finish No.203 image, Processing time : 5.131591558456421
Finish No.204 image, Processing time : 5.108526706695557
Finish No.205 image, Processing time : 4.988156318664551
Finish No.206 image, Processing time : 4.833716630935669
Finish No.207 image, Processing time : 4.965195417404175
Finish No.208 image, Processing time : 4.9272003173828125
Finish No.209 image, Processing time : 4.951993227005005
Finish No.210 image, Processing time : 5.005530118942261
Finish No.211 image, Processing time : 4.982189416885376
Finish No.212 image, Processing time : 5.026494264602661
Finish No.213 image, Processing time : 4.9648213386535645
Finish No.214 image, Processing time : 4.946742534637451
Finish No.215 image, Processing time : 4.920120000839233
Finish No.216 image, Processing time : 4.77036452293396
Finish No.217 image, Processing time : 4.880160808563232
Finish No.218 image, Processing time : 4.855453252792358
Finish No.219 image, Processing time : 4.942757606506348
Finish No.220 image, Processing time : 5.114225387573242
Finish No.221 image, Processing time : 4.960864543914795
