Finish No.138 image, Processing time : 5.535267114639282
Finish No.139 image, Processing time : 5.366628885269165
Finish No.140 image, Processing time : 5.583745002746582
Finish No.141 image, Processing time : 5.613878488540649
Finish No.142 image, Processing time : 5.598599195480347
Finish No.143 image, Processing time : 5.605525255203247
Finish No.144 image, Processing time : 5.595457553863525
Finish No.145 image, Processing time : 5.475332975387573
Finish No.146 image, Processing time : 5.646981954574585
Finish No.147 image, Processing time : 5.644953489303589
Finish No.148 image, Processing time : 5.53823447227478
Finish No.149 image, Processing time : 5.546470642089844
Finish No.150 image, Processing time : 5.431362867355347
Finish No.151 image, Processing time : 5.500599145889282
Finish No.152 image, Processing time : 5.601237058639526
Finish No.153 image, Processing time : 5.653956174850464
Finish No.154 image, Processing time : 5.51575493812561
Finish No.155 image, Processing time : 5.675085544586182
Finish No.156 image, Processing time : 5.620731353759766
Finish No.157 image, Processing time : 5.6771605014801025
Finish No.158 image, Processing time : 5.745386123657227
Finish No.159 image, Processing time : 5.915161609649658
Finish No.160 image, Processing time : 5.6768553256988525
Finish No.161 image, Processing time : 5.856858968734741
Finish No.162 image, Processing time : 5.862261772155762
Finish No.163 image, Processing time : 5.728675842285156
Finish No.164 image, Processing time : 5.914403676986694
Finish No.165 image, Processing time : 5.711594581604004
Finish No.166 image, Processing time : 5.764509201049805
Finish No.167 image, Processing time : 5.887064456939697
Finish No.168 image, Processing time : 5.892160892486572
Finish No.169 image, Processing time : 5.881016254425049
Finish No.170 image, Processing time : 5.807121992111206
Finish No.171 image, Processing time : 5.874177694320679
Finish No.172 image, Processing time : 5.939346790313721
Finish No.173 image, Processing time : 5.953975200653076
Finish No.174 image, Processing time : 5.924341678619385
Finish No.175 image, Processing time : 5.977119207382202
Finish No.176 image, Processing time : 5.889905214309692
Finish No.177 image, Processing time : 6.031862497329712
Finish No.178 image, Processing time : 5.992298603057861
Finish No.179 image, Processing time : 5.935645818710327
Finish No.180 image, Processing time : 6.019778251647949
Finish No.181 image, Processing time : 6.022541761398315
Finish No.182 image, Processing time : 5.999783754348755
Finish No.183 image, Processing time : 5.950619459152222
Finish No.184 image, Processing time : 5.810030698776245
Finish No.185 image, Processing time : 5.941604852676392
Finish No.186 image, Processing time : 5.990239858627319
Finish No.187 image, Processing time : 5.911607503890991
Finish No.188 image, Processing time : 5.765608072280884
Finish No.189 image, Processing time : 5.826525926589966
Finish No.190 image, Processing time : 5.766585350036621
Finish No.191 image, Processing time : 5.804057598114014
Finish No.192 image, Processing time : 5.784879207611084
Finish No.193 image, Processing time : 5.9551355838775635
Finish No.194 image, Processing time : 5.737163782119751
Finish No.195 image, Processing time : 5.625467777252197
Finish No.196 image, Processing time : 5.673151016235352
Finish No.197 image, Processing time : 5.811047077178955
Finish No.198 image, Processing time : 5.7265472412109375
Finish No.199 image, Processing time : 5.57469916343689
Finish No.200 image, Processing time : 5.6881890296936035
Finish No.201 image, Processing time : 5.62848973274231
Finish No.202 image, Processing time : 5.613321781158447
Finish No.203 image, Processing time : 5.671461820602417
Finish No.204 image, Processing time : 5.4891579151153564
Finish No.205 image, Processing time : 5.459794759750366
Finish No.206 image, Processing time : 5.4905242919921875
Finish No.207 image, Processing time : 5.51024055480957
Finish No.208 image, Processing time : 5.493915796279907
Finish No.209 image, Processing time : 5.399908065795898
Finish No.210 image, Processing time : 5.497273683547974
Finish No.211 image, Processing time : 5.586246490478516
Finish No.212 image, Processing time : 5.35091757774353
Finish No.213 image, Processing time : 5.4584105014801025
Finish No.214 image, Processing time : 5.447186470031738
Finish No.215 image, Processing time : 5.569011211395264
Finish No.216 image, Processing time : 5.266673564910889
Finish No.217 image, Processing time : 5.463285446166992
Finish No.218 image, Processing time : 5.502781629562378
Finish No.219 image, Processing time : 5.429120779037476
Finish No.220 image, Processing time : 5.5960681438446045
Finish No.221 image, Processing time : 5.446773529052734
Finish No.222 image, Processing time : 5.571133852005005
Finish No.223 image, Processing time : 5.429322242736816
Finish No.224 image, Processing time : 5.440044164657593
Finish No.225 image, Processing time : 5.485508441925049
Finish No.226 image, Processing time : 5.5357115268707275
Finish No.227 image, Processing time : 5.433154106140137
Finish No.228 image, Processing time : 5.679620265960693
Finish No.229 image, Processing time : 5.270200967788696
Finish No.230 image, Processing time : 5.415528774261475
Finish No.231 image, Processing time : 5.443908929824829
Finish No.232 image, Processing time : 5.549511432647705
Finish No.233 image, Processing time : 5.570737361907959
Finish No.234 image, Processing time : 5.712652683258057
Finish No.235 image, Processing time : 5.322565078735352
Finish No.236 image, Processing time : 5.508651256561279
Finish No.237 image, Processing time : 5.409580707550049
Finish No.238 image, Processing time : 5.436279296875
Finish No.239 image, Processing time : 5.374890565872192
Finish No.240 image, Processing time : 5.4593470096588135
Finish No.241 image, Processing time : 5.457169532775879
Finish No.242 image, Processing time : 5.400516748428345
Finish No.243 image, Processing time : 5.484349012374878
Finish No.244 image, Processing time : 5.385640382766724
Finish No.245 image, Processing time : 5.418812036514282
Finish No.246 image, Processing time : 5.356780052185059
Finish No.247 image, Processing time : 5.49704909324646
Finish No.248 image, Processing time : 5.46016263961792
Finish No.249 image, Processing time : 5.447577714920044
Finish No.250 image, Processing time : 5.3842549324035645
Finish No.251 image, Processing time : 5.360485076904297
Finish No.252 image, Processing time : 5.296346187591553
Finish No.253 image, Processing time : 5.492062091827393
Finish No.254 image, Processing time : 5.415342807769775
Finish No.255 image, Processing time : 5.441409111022949
Finish No.256 image, Processing time : 5.382008075714111
Finish No.257 image, Processing time : 5.419350624084473
Finish No.258 image, Processing time : 5.378272294998169
Finish No.259 image, Processing time : 5.4532716274261475
