Finish No.0 image, Processing time : 21.955305576324463
Finish No.1 image, Processing time : 22.476017236709595
Finish No.2 image, Processing time : 21.560256958007812
Finish No.3 image, Processing time : 21.594772338867188
Finish No.4 image, Processing time : 21.637844800949097
Finish No.5 image, Processing time : 21.551835775375366
Finish No.6 image, Processing time : 16.481160640716553
Finish No.7 image, Processing time : 21.732749700546265
Finish No.8 image, Processing time : 21.434895992279053
Finish No.9 image, Processing time : 21.321829080581665
Finish No.10 image, Processing time : 21.31697916984558
Finish No.11 image, Processing time : 20.883087635040283
Finish No.12 image, Processing time : 20.999869346618652
Finish No.13 image, Processing time : 20.830339193344116
Finish No.14 image, Processing time : 21.061872720718384
Finish No.15 image, Processing time : 21.04851770401001
Finish No.16 image, Processing time : 20.832608222961426
Finish No.17 image, Processing time : 21.701700448989868
Finish No.18 image, Processing time : 21.078197956085205
Finish No.19 image, Processing time : 21.216147661209106
Finish No.20 image, Processing time : 21.02330207824707
Finish No.21 image, Processing time : 21.52652668952942
Finish No.22 image, Processing time : 20.8336980342865
Finish No.23 image, Processing time : 20.992183208465576
Finish No.24 image, Processing time : 20.653764247894287
Finish No.25 image, Processing time : 20.68576455116272
Finish No.26 image, Processing time : 20.74100923538208
Finish No.27 image, Processing time : 20.69390058517456
Finish No.28 image, Processing time : 20.68100142478943
Finish No.29 image, Processing time : 21.075520515441895
Finish No.30 image, Processing time : 20.892022371292114
Finish No.31 image, Processing time : 21.28149676322937
Finish No.32 image, Processing time : 20.487520694732666
Finish No.33 image, Processing time : 20.4433434009552
Finish No.34 image, Processing time : 20.516037702560425
Finish No.35 image, Processing time : 20.765323162078857
Finish No.36 image, Processing time : 20.525066614151
Finish No.37 image, Processing time : 20.833731412887573
Finish No.38 image, Processing time : 20.308927536010742
Finish No.39 image, Processing time : 20.201367378234863
Finish No.40 image, Processing time : 20.68436908721924
Finish No.41 image, Processing time : 20.94050931930542
Finish No.42 image, Processing time : 20.727405786514282
Finish No.43 image, Processing time : 20.7369441986084
Finish No.44 image, Processing time : 20.43269443511963
Finish No.45 image, Processing time : 20.271244049072266
Finish No.46 image, Processing time : 20.307570457458496
Finish No.47 image, Processing time : 19.894699573516846
Finish No.48 image, Processing time : 20.49714970588684
Finish No.49 image, Processing time : 20.117209434509277
Finish No.50 image, Processing time : 20.229838371276855
Finish No.51 image, Processing time : 20.04564118385315
Finish No.52 image, Processing time : 19.72345733642578
Finish No.53 image, Processing time : 20.193734884262085
Finish No.54 image, Processing time : 20.027846813201904
Finish No.55 image, Processing time : 17.07850432395935
Finish No.56 image, Processing time : 20.306323051452637
Finish No.57 image, Processing time : 16.66234827041626
Finish No.58 image, Processing time : 16.644267797470093
